time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
27.447,0,0.17,0.02,0.01,94.61,0.02,67.67,97.53,80.09,0.04,0.00,99.98,-39.76,97.87,80.09,99.59,0.01,88.53,0.01,0.00,0.04,0.00,0.00,99.91,7.24,0.00,0.00,0.08,0.08,0.01,0.00,0.00,0.00,0.04,0.00,0.00,-3.41,2.86,0.19,67.56,69.89,317.87,260.03,419.75,367.73,404.17,284.40,334.34,281.41,369.93,310.35,367.92,367.73,
27.587,0,0.09,0.02,0.01,91.35,0.02,72.77,95.98,84.18,0.06,0.00,99.98,-41.37,98.11,84.18,99.18,0.01,72.79,0.02,0.01,0.06,0.01,0.00,99.91,10.17,0.00,0.00,0.06,0.08,0.01,0.00,0.00,0.00,0.05,0.00,0.00,-3.44,2.25,0.18,67.48,70.44,317.95,260.13,419.64,367.57,404.45,284.45,334.07,281.53,369.59,310.36,367.87,367.57,
27.665,0,0.04,0.02,0.01,79.80,0.02,73.03,89.49,83.74,0.07,0.00,99.98,-41.57,98.33,83.74,98.57,0.01,49.07,0.02,0.01,0.07,0.01,0.00,99.91,11.43,0.00,0.00,0.07,0.07,0.02,0.00,0.00,0.00,0.06,0.00,0.00,-4.40,1.62,0.04,66.93,70.72,318.19,260.37,419.48,367.37,404.72,284.27,334.04,281.68,369.28,310.76,367.75,367.37,
27.747,0,0.01,0.02,0.01,52.94,0.02,75.74,69.93,86.89,0.11,0.00,99.98,-41.98,98.52,86.89,96.95,0.01,16.40,0.03,0.01,0.11,0.01,0.00,99.90,10.05,0.00,0.00,0.06,0.10,0.02,0.00,0.00,0.00,0.05,0.00,0.00,-4.94,1.00,-0.28,66.58,71.59,318.44,260.13,419.68,366.90,405.55,284.21,334.03,281.20,369.17,310.70,367.59,366.90,
27.887,0,0.01,0.02,0.01,41.01,0.02,77.66,58.39,87.79,0.17,0.00,99.97,-42.72,98.66,87.79,95.36,0.02,4.97,0.02,0.01,0.17,0.02,0.00,99.93,12.20,0.00,0.00,0.05,0.08,0.01,0.00,0.00,0.00,0.05,0.00,0.00,-5.12,0.52,-0.03,66.52,71.14,318.76,260.36,419.55,366.72,405.30,284.00,334.21,281.53,368.98,310.76,367.96,366.72,
28.037,0,0.01,0.02,0.01,35.24,0.02,80.54,51.53,87.08,0.18,0.00,99.97,-44.60,98.54,87.08,92.82,0.02,1.56,0.03,0.01,0.18,0.02,0.00,99.94,21.10,0.00,0.00,0.03,0.06,0.01,0.00,0.00,0.00,0.04,0.00,0.00,-5.29,0.93,0.24,66.61,70.60,318.88,260.32,419.62,366.58,404.98,283.90,334.41,281.52,369.29,310.77,368.36,366.58,
28.194,0,0.01,0.02,0.01,33.89,0.02,72.94,49.47,83.38,0.09,2.06,99.97,-40.62,98.15,83.38,93.82,0.03,2.28,0.04,0.04,0.09,0.01,0.00,99.93,7.66,0.00,0.00,0.01,0.07,0.02,0.00,0.00,0.00,0.03,0.00,0.00,-1.97,2.14,0.14,68.39,70.12,318.33,259.44,420.09,366.95,404.71,284.43,334.69,280.75,369.94,309.15,368.25,366.95,
28.259,0,0.01,0.02,0.01,29.43,0.02,67.29,42.92,75.71,0.09,7.71,99.97,-39.90,98.55,75.71,94.31,0.03,3.12,0.03,0.02,0.09,0.01,0.00,99.97,12.08,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-0.45,0.92,0.93,68.99,69.44,318.21,258.32,420.79,367.12,404.26,283.02,334.87,280.48,369.50,307.82,369.36,367.12,
28.417,0,0.01,0.02,0.01,22.09,0.02,50.52,31.45,61.12,0.08,24.48,99.97,-36.27,98.57,61.12,95.61,0.02,4.56,0.03,0.03,0.08,0.00,0.00,99.95,10.89,0.00,0.00,0.04,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.63,0.84,-0.07,69.56,69.80,316.99,256.08,420.80,366.54,404.36,281.50,334.64,278.15,368.90,305.74,367.68,366.54,
28.574,0,0.01,0.02,0.01,21.14,0.02,44.47,29.86,56.70,0.07,30.53,99.98,-35.16,98.75,56.70,97.76,0.03,5.03,0.08,0.04,0.07,0.01,0.00,99.91,10.54,0.00,0.00,0.12,0.03,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.58,-0.16,1.16,69.57,70.33,317.34,255.22,420.99,365.37,404.27,279.98,333.97,277.99,368.55,304.83,369.25,365.37,
28.660,0,0.01,0.02,0.01,25.64,0.02,50.38,36.45,61.97,0.04,24.62,99.98,-36.45,98.66,61.97,97.68,0.02,6.98,0.08,0.02,0.04,0.01,0.00,99.86,10.59,0.00,0.00,0.59,0.06,0.02,0.00,0.00,0.00,0.05,0.00,0.00,1.92,0.49,1.20,69.83,71.72,316.82,254.70,420.73,365.01,404.55,279.98,332.86,277.70,368.52,303.92,368.92,365.01,
28.727,0,0.01,0.02,0.01,36.51,0.02,62.41,51.60,74.55,0.02,12.59,99.98,-38.70,98.50,74.55,97.70,0.02,9.26,0.07,0.01,0.02,0.00,0.00,99.79,6.74,0.00,0.00,1.83,0.07,0.03,0.00,0.00,0.00,0.19,0.00,0.00,4.66,1.09,0.52,69.53,71.99,316.81,253.72,421.13,364.72,405.22,280.14,333.32,276.60,369.09,302.08,368.38,364.72,
28.880,0,0.01,0.02,0.01,31.80,0.02,58.50,45.36,72.13,0.03,16.50,99.97,-36.86,98.74,72.13,95.90,0.02,7.45,0.04,0.01,0.03,0.02,0.02,99.29,3.60,0.00,0.00,0.04,0.23,0.05,0.00,0.00,0.00,0.26,0.00,0.00,4.30,0.19,0.08,68.95,71.24,316.77,253.20,421.45,364.80,405.23,279.65,334.08,275.89,368.74,301.83,368.02,364.80,
28.948,0,0.01,0.02,0.01,28.79,0.02,59.60,41.19,73.67,0.03,15.40,99.96,-36.47,98.76,73.67,92.00,0.02,5.72,0.05,0.01,0.03,0.01,0.02,98.20,1.92,0.00,0.00,0.12,0.50,0.06,0.00,0.00,0.01,0.17,0.00,0.00,4.71,0.12,0.49,69.43,71.60,315.76,253.54,420.98,365.65,404.45,280.13,332.94,276.55,367.95,302.26,367.74,365.65,
29.017,0,0.01,0.02,0.01,27.32,0.02,56.23,38.92,71.74,0.04,18.77,99.95,-35.61,98.73,71.74,91.29,0.02,6.08,0.06,0.01,0.04,0.00,0.03,97.21,1.36,0.00,0.00,0.37,0.56,0.08,0.00,0.00,0.01,0.14,0.00,0.00,3.47,-0.22,0.28,69.37,72.38,315.17,253.53,420.13,365.30,404.25,279.64,331.94,276.47,367.03,302.62,366.76,365.30,
29.264,0,0.01,0.02,0.01,29.03,0.02,42.75,41.57,70.52,0.06,32.25,99.94,-32.74,98.54,70.52,95.83,0.01,5.38,0.10,0.01,0.06,0.00,0.00,89.02,2.73,0.00,0.00,0.04,0.65,0.09,0.00,0.00,0.00,0.08,0.00,0.00,4.51,-0.93,-0.67,70.22,72.38,310.10,252.18,414.63,363.78,399.48,278.63,327.20,274.75,361.38,300.63,360.40,363.78,
29.331,0,0.01,0.02,0.01,18.81,0.02,34.18,26.14,54.28,0.10,40.82,99.96,-32.05,97.86,54.28,96.27,0.01,4.46,0.10,0.02,0.10,0.00,0.00,94.28,7.94,0.00,0.00,0.11,0.44,0.06,0.00,0.00,0.00,0.04,0.00,0.00,3.36,-2.88,0.15,69.08,72.62,309.87,252.35,413.86,363.00,398.69,278.34,326.14,275.03,359.71,301.00,360.76,363.00,
29.402,0,0.01,0.02,0.01,18.76,0.02,35.63,26.02,53.73,0.11,39.37,99.97,-32.32,98.50,53.73,96.33,0.01,4.83,0.05,0.02,0.11,0.01,0.00,96.59,6.13,0.00,0.00,0.04,0.38,0.03,0.00,0.00,0.00,0.02,0.00,0.00,3.84,-1.08,-0.50,67.18,72.42,306.79,255.37,409.28,364.89,395.12,280.46,322.74,277.96,356.96,303.14,356.25,364.89,
29.476,0,0.01,0.02,0.01,16.87,0.02,35.86,23.16,51.01,0.08,39.14,99.97,-32.69,97.98,51.01,96.07,0.01,4.11,0.03,0.01,0.08,0.01,0.00,98.43,7.76,0.00,0.00,0.01,0.32,0.02,0.00,0.00,0.00,0.02,0.00,0.00,2.42,-2.58,0.39,66.15,71.04,307.02,256.39,408.64,364.86,393.76,280.10,322.72,279.50,355.88,304.32,357.02,364.86,
29.637,0,0.03,0.02,0.09,5.51,0.03,13.05,7.31,25.13,10.94,73.89,99.94,-29.96,98.65,25.13,88.21,0.02,5.65,3.02,0.03,10.94,21.47,0.00,97.05,4.66,0.00,0.00,3.41,0.14,0.04,0.00,0.02,0.00,0.01,0.00,0.00,4.91,0.54,-0.24,68.86,65.57,304.17,259.58,405.40,366.68,387.98,287.82,322.89,279.87,354.65,306.43,353.48,366.68,
29.780,0,0.03,0.03,0.04,2.71,0.03,11.21,3.33,20.93,15.57,77.59,99.76,-30.00,94.76,20.93,73.10,0.16,5.12,1.13,0.52,15.57,0.34,0.00,95.42,1.38,0.00,0.06,0.10,0.05,0.04,0.00,0.00,0.01,0.18,0.00,0.00,3.91,7.52,7.49,58.72,61.88,299.66,259.13,402.25,365.97,378.63,286.60,316.94,281.89,353.92,307.24,357.28,365.97,
29.862,0,0.03,0.04,0.02,3.09,0.03,11.79,2.99,26.12,3.13,76.42,99.03,-22.85,92.77,26.12,65.52,0.94,4.78,0.72,0.21,3.13,0.09,0.02,85.33,1.24,0.03,0.15,1.14,0.03,0.06,0.00,0.01,0.01,0.37,0.00,0.00,7.04,9.24,10.67,56.72,53.12,298.45,256.81,399.96,364.93,371.66,281.21,318.54,281.22,352.37,302.88,357.40,364.93,
30.010,0,0.07,0.09,0.01,8.65,0.02,1.60,5.59,7.99,18.97,82.70,7.28,-9.97,97.61,48.07,53.67,18.97,10.11,0.07,0.16,0.10,0.00,0.09,7.99,0.18,0.34,0.82,0.05,0.00,0.30,0.00,0.00,0.06,0.66,0.00,0.00,5.47,3.44,4.98,55.26,61.37,297.87,258.09,397.57,364.08,376.51,282.62,315.16,281.04,348.78,304.01,351.49,364.08,
30.155,0,0.07,0.22,0.01,9.20,0.02,12.20,5.83,4.12,17.64,75.61,44.93,-16.64,97.91,86.68,13.25,17.64,12.97,0.11,0.09,0.00,0.00,0.26,4.12,0.01,0.07,4.37,0.04,0.01,0.34,0.00,0.00,0.05,0.13,0.00,0.00,-1.33,-2.78,2.38,55.91,68.96,298.39,258.71,396.73,363.21,381.37,280.22,312.42,281.58,345.46,306.55,348.89,363.21,
30.303,0,0.02,0.12,0.01,6.25,0.02,6.42,6.51,1.81,2.37,86.97,51.75,-8.51,98.68,92.39,22.39,2.37,0.99,0.05,0.01,0.00,0.00,0.11,1.81,0.06,0.00,2.31,0.40,0.01,0.30,0.00,0.00,0.05,0.07,0.00,0.00,-0.61,0.44,3.69,59.89,68.03,297.46,258.31,396.01,363.12,379.34,279.23,311.38,282.04,346.35,305.92,349.48,363.12,
30.369,0,0.02,0.11,0.01,4.50,0.02,3.64,4.69,0.71,0.45,90.62,31.52,-4.84,98.62,82.97,23.99,0.45,0.52,0.05,0.01,0.00,0.00,0.06,0.71,0.04,0.00,1.04,0.31,0.03,0.24,0.00,0.00,0.06,0.05,0.00,0.00,-0.58,-0.65,3.54,61.15,68.58,297.42,258.04,396.32,363.10,379.85,279.33,311.30,281.69,345.89,305.84,349.47,363.10,
30.509,0,0.03,0.09,0.01,3.06,0.02,1.39,2.93,1.00,0.38,93.89,9.64,-0.84,98.40,63.65,32.00,0.38,0.18,0.08,0.01,0.02,0.00,0.11,1.00,0.08,0.00,0.39,1.84,0.03,0.13,0.00,0.00,0.05,0.04,0.00,0.00,-0.76,-1.41,3.59,63.64,68.21,298.01,257.66,397.16,363.18,380.36,278.68,312.20,281.44,346.20,305.67,350.19,363.18,
30.575,0,0.03,0.09,0.01,2.55,0.02,1.49,2.35,3.35,0.13,94.89,9.22,-0.91,98.78,61.51,28.89,0.13,0.14,0.05,0.01,0.02,0.00,0.15,3.35,0.15,0.00,0.18,1.11,0.05,0.04,0.00,0.00,0.03,0.04,0.00,0.00,-1.22,-0.03,3.66,65.13,68.64,298.16,257.63,397.33,363.00,380.67,278.63,312.08,281.44,347.10,305.79,350.48,363.00,
30.719,0,0.03,0.09,0.01,3.10,0.02,2.53,3.01,12.95,0.10,93.81,20.59,-4.57,98.76,63.58,32.85,0.06,0.18,0.06,0.01,0.10,0.01,0.23,12.95,0.58,0.00,0.15,0.19,0.04,0.01,0.00,0.00,0.02,0.05,0.00,0.00,-1.63,-0.12,2.83,67.61,69.06,298.50,257.72,397.32,362.80,381.49,278.75,312.46,281.09,347.25,305.85,349.78,362.80,
30.791,0,0.02,0.07,0.01,3.48,0.02,3.44,3.47,23.29,0.06,93.04,31.83,-7.47,98.61,60.57,39.22,0.06,0.42,0.05,0.01,0.05,0.01,0.19,23.29,0.81,0.00,0.07,0.18,0.03,0.01,0.00,0.00,0.01,0.04,0.00,0.00,-1.98,0.70,2.34,68.83,69.24,299.46,256.48,398.56,361.75,382.94,278.05,313.71,279.46,348.82,304.87,350.38,361.75,
30.860,0,0.03,0.07,0.01,3.21,0.02,8.23,3.15,46.20,0.05,83.54,65.48,-14.10,98.31,55.11,42.36,0.05,0.28,0.03,0.00,0.02,0.00,0.11,46.20,0.86,0.00,0.04,0.13,0.02,0.01,0.00,0.00,0.01,0.02,0.00,0.00,-2.31,1.68,2.22,69.11,68.67,299.58,256.43,398.70,361.78,382.84,277.98,314.19,279.26,349.49,304.93,350.38,361.78,
30.926,0,0.03,0.07,0.01,3.20,0.02,33.77,3.13,58.33,0.07,41.23,96.12,-24.78,97.33,58.33,39.11,0.07,0.18,0.02,0.00,0.02,0.00,0.08,74.96,1.07,0.00,0.02,0.08,0.02,0.01,0.00,0.00,0.00,0.02,0.00,0.00,-3.48,4.02,2.17,69.69,69.08,300.78,256.69,399.20,361.04,383.90,278.00,314.83,279.31,351.64,305.26,351.25,361.04,
30.993,0,0.02,0.08,0.01,3.82,0.02,50.80,3.91,69.23,0.08,24.20,98.63,-28.09,97.35,69.23,33.86,0.08,0.07,0.02,0.00,0.01,0.00,0.05,77.36,0.98,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.00,-2.15,3.98,1.75,70.29,68.43,302.42,256.33,400.19,360.23,385.11,277.71,316.69,278.81,352.94,304.08,352.10,360.23,
31.132,0,0.02,0.10,0.01,3.96,0.02,76.28,4.09,76.94,0.08,0.00,99.74,-34.20,95.63,76.94,27.34,0.08,0.01,0.01,0.00,0.01,0.00,0.01,90.28,0.53,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.02,6.57,0.81,70.17,70.79,306.41,256.32,405.64,361.04,391.46,280.63,320.72,277.97,359.23,304.10,355.89,361.04,
31.272,0,0.01,0.04,0.01,11.46,0.02,59.05,15.11,78.69,0.09,15.95,99.62,-32.36,97.24,78.69,59.86,0.09,0.01,0.00,0.00,0.00,0.00,0.00,84.09,0.03,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.02,4.20,0.42,68.19,72.92,307.67,258.94,406.85,363.62,394.02,283.10,321.14,280.74,359.19,306.67,356.62,363.62,
31.503,0,0.01,0.03,0.01,26.62,0.02,7.52,39.13,25.18,0.14,35.87,86.53,-15.00,97.18,91.31,77.99,0.14,0.02,0.01,0.00,0.01,0.00,0.00,25.18,0.00,0.00,0.00,0.00,0.25,0.08,0.00,0.00,0.00,0.01,0.00,0.00,-2.49,4.31,-0.42,66.87,73.25,307.66,263.27,407.76,368.68,395.09,287.86,321.92,284.34,359.76,312.40,356.11,368.68,
31.585,0,0.01,0.02,0.00,37.82,0.02,8.64,55.05,24.97,0.20,19.95,91.57,-16.51,96.79,98.05,86.72,0.20,0.01,0.01,0.01,0.00,0.00,0.00,24.97,0.00,0.00,0.00,0.00,0.24,0.08,0.00,0.00,0.00,0.00,0.00,0.00,-3.54,4.98,0.07,66.62,70.63,307.56,262.49,409.39,369.95,394.24,287.02,323.68,283.77,360.80,312.86,357.49,369.95,
31.735,0,0.01,0.02,0.00,44.14,0.02,3.34,62.90,7.32,0.19,12.10,74.04,-10.66,97.68,99.05,93.40,0.19,0.03,0.02,0.01,0.00,0.00,0.00,7.32,0.00,0.00,0.00,0.00,0.48,0.19,0.00,0.00,0.00,0.00,0.00,0.00,-3.92,3.30,-0.20,66.06,70.38,307.61,262.11,410.46,370.50,394.81,287.44,324.57,283.07,360.43,313.13,357.73,370.50,
31.803,0,0.00,0.02,0.00,47.74,0.02,2.80,66.91,5.02,0.34,8.09,70.41,-9.97,98.13,99.10,97.32,0.34,0.07,0.01,0.01,0.00,0.00,0.00,5.02,0.01,0.00,0.00,0.00,0.87,0.41,0.00,0.00,0.00,0.00,0.00,0.00,-4.57,2.21,-0.33,65.72,71.73,307.36,261.26,411.91,371.21,396.16,287.29,324.61,282.27,360.44,313.36,358.13,371.21,
31.938,0,0.00,0.02,0.00,49.60,0.02,2.33,68.84,2.17,0.28,6.16,65.47,-8.92,98.49,98.97,99.13,0.28,0.27,0.02,0.00,0.00,0.00,0.00,2.17,0.01,0.00,0.00,0.00,1.46,0.66,0.00,0.00,0.00,0.00,0.00,0.00,-4.49,1.11,-1.33,65.44,71.61,306.59,260.88,412.43,372.13,396.46,288.21,325.18,281.28,359.74,313.58,356.89,372.13,
32.162,0,0.01,0.02,0.01,53.08,0.03,1.83,68.45,0.11,0.07,6.55,81.68,-5.90,98.38,95.83,99.96,0.07,0.58,3.20,0.00,0.00,0.00,0.01,0.11,0.00,0.00,0.01,0.09,11.97,2.21,0.00,1.46,0.03,0.27,0.00,0.00,-0.32,1.47,-1.95,65.07,71.96,305.73,262.00,412.34,374.65,396.46,290.38,324.91,282.76,359.50,313.43,355.73,374.65,
32.229,0,0.01,0.13,0.01,50.02,0.05,1.31,61.16,0.06,0.05,13.84,89.96,-0.17,98.15,86.98,99.98,0.05,0.71,10.54,0.03,0.00,0.00,4.53,0.02,0.00,0.00,0.19,0.06,20.64,3.23,0.00,0.00,0.28,19.84,0.00,0.00,-0.96,2.14,-0.92,64.60,73.16,306.17,262.54,412.32,374.27,396.76,290.52,323.92,283.64,360.05,314.03,357.06,374.27,
32.306,0,0.01,0.00,0.01,37.96,19.31,0.34,62.06,0.03,0.01,12.94,99.84,37.78,98.10,85.72,99.99,0.01,1.13,31.62,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.03,73.11,4.97,0.00,0.00,45.78,6.22,0.00,0.00,-4.02,2.27,-0.54,64.03,72.19,305.67,262.99,412.33,375.12,395.84,290.14,323.90,284.08,359.86,315.93,357.26,375.12,
32.522,0,0.00,0.00,0.00,18.84,97.28,0.06,71.80,0.04,0.00,0.00,99.96,81.31,98.42,88.18,99.99,0.00,8.02,20.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.04,90.32,6.25,0.00,0.00,96.06,14.20,0.00,0.00,-4.88,-1.35,-0.86,63.25,72.38,303.74,263.77,410.81,376.39,394.42,290.96,322.31,284.74,356.07,317.17,355.10,376.39,
32.589,0,0.00,0.00,0.00,23.95,97.43,0.08,78.80,0.06,0.00,0.00,99.97,80.32,98.66,92.80,99.97,0.00,12.56,21.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.06,88.85,6.17,0.00,0.00,96.23,27.72,0.00,0.00,-5.56,0.51,-0.96,63.52,70.97,302.98,264.26,409.91,376.82,392.90,291.17,322.20,285.03,356.31,317.92,354.24,376.82,
32.659,0,0.00,0.00,0.00,21.41,95.16,0.08,77.20,0.26,0.01,0.00,99.95,79.80,98.39,94.47,99.97,0.01,9.68,13.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.26,81.82,5.16,0.00,0.00,94.58,26.48,0.00,0.00,-6.25,-1.45,-0.95,63.86,71.68,301.18,264.01,409.29,377.78,392.08,291.04,320.66,284.96,353.99,318.48,352.98,377.78,
32.801,0,0.00,0.00,0.00,21.40,96.48,0.09,77.06,0.24,0.01,0.00,99.96,79.57,98.67,96.15,99.95,0.01,7.79,18.22,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.70,0.24,83.10,5.18,0.00,0.00,95.02,27.62,0.00,0.00,-3.06,-0.45,0.47,64.79,67.97,302.29,263.53,409.34,377.30,390.08,288.95,322.19,285.75,355.10,316.21,355.17,377.30,
32.936,0,0.00,0.00,0.00,25.96,95.46,0.12,81.00,0.06,0.02,0.00,99.93,78.73,98.64,99.26,99.94,0.02,10.60,19.59,0.01,0.00,0.00,0.00,0.00,0.01,0.00,2.55,0.06,79.29,5.00,0.00,0.00,91.97,11.88,0.00,0.00,-2.14,-0.58,-0.21,65.92,70.47,300.12,262.64,406.78,375.75,389.33,288.76,318.98,284.61,352.67,314.76,352.05,375.75,
33.015,0,0.00,0.00,0.00,23.29,94.58,0.12,78.29,0.08,0.02,0.00,99.93,77.23,98.50,99.60,99.93,0.02,6.23,16.50,0.01,0.00,0.00,0.00,0.00,0.01,0.00,2.80,0.08,79.92,5.02,0.00,0.00,91.86,7.86,0.00,0.00,-6.63,-1.06,-0.30,65.67,68.27,300.61,262.79,405.48,373.85,387.88,287.23,319.68,284.01,352.03,315.83,351.57,373.85,
33.090,0,0.00,0.00,0.00,19.48,79.43,0.15,74.15,0.25,0.04,0.00,99.68,63.72,98.65,99.80,99.93,0.04,2.26,8.68,0.01,0.00,0.00,0.00,0.00,0.01,0.00,3.32,0.25,59.92,3.31,0.00,0.00,82.32,0.00,0.00,0.00,-4.85,-0.54,0.57,65.73,69.20,300.69,262.22,405.33,372.59,387.83,287.48,318.73,283.65,352.23,314.42,352.47,372.59,
33.295,0,0.00,0.00,0.00,19.40,79.51,0.15,73.17,0.90,0.04,0.00,99.69,63.74,98.43,99.44,99.90,0.04,0.32,8.37,0.01,0.01,0.00,0.00,0.01,0.02,0.00,8.98,0.90,60.75,4.41,0.00,0.00,82.52,0.00,0.00,0.00,-3.74,-1.32,0.31,65.68,70.38,301.20,262.04,405.55,371.87,388.91,288.10,318.70,283.24,352.16,313.64,352.52,371.87,
33.360,0,0.00,0.00,0.00,15.10,73.84,0.15,71.22,0.83,0.03,1.16,99.58,61.01,98.66,99.19,99.93,0.03,0.36,6.45,0.00,0.01,0.00,0.00,0.01,0.01,0.00,14.86,0.83,38.84,2.26,0.00,0.00,80.64,3.44,0.00,0.00,-2.65,0.49,-0.51,65.86,67.45,302.38,262.84,405.28,371.98,388.30,288.06,320.99,283.79,353.67,313.33,352.19,371.98,
33.433,0,0.00,0.00,0.00,16.78,63.68,0.15,71.36,0.06,0.02,3.64,99.42,57.34,98.49,98.39,99.97,0.02,0.61,2.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,3.80,0.06,49.93,2.94,0.00,0.00,78.63,0.23,0.00,0.00,-2.75,1.12,-0.88,65.34,68.92,303.92,262.52,405.89,370.55,390.32,287.57,321.54,283.30,355.11,312.61,352.86,370.55,
33.568,0,0.00,0.00,0.00,16.42,37.95,0.19,70.85,0.01,0.01,4.15,97.55,47.63,98.30,97.59,99.98,0.01,0.99,1.26,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.59,0.01,35.59,2.76,0.00,0.00,69.58,0.00,0.00,0.00,-3.97,1.70,-1.27,65.22,68.45,304.72,263.43,405.00,369.58,390.24,287.85,321.92,283.67,355.40,313.16,352.43,369.58,
33.703,0,0.00,0.00,0.00,10.08,97.41,0.14,70.34,0.02,0.01,0.00,99.90,79.36,98.51,97.38,99.95,0.01,0.34,34.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,0.02,41.90,3.06,0.00,0.00,89.76,19.24,0.00,0.00,-3.03,1.03,-0.83,64.85,68.89,305.74,263.55,405.66,369.31,391.09,287.91,322.30,284.08,355.85,312.74,353.70,369.31,
33.776,0,0.00,0.00,0.00,10.57,99.95,0.18,69.67,0.06,0.00,0.00,99.97,79.27,98.77,97.77,99.86,0.00,0.23,88.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00,22.72,0.06,45.33,2.09,0.00,0.00,98.27,46.22,0.00,0.00,-3.31,-0.07,-0.67,64.15,68.25,305.92,263.25,405.74,368.74,390.80,287.89,322.69,283.56,355.38,312.48,354.00,368.74,
33.858,0,0.00,0.00,0.00,24.94,99.98,0.19,68.43,0.04,0.00,0.00,99.98,79.27,98.42,97.74,99.38,0.00,0.11,99.57,0.29,0.03,0.00,0.00,0.00,0.00,0.00,83.47,0.04,60.23,1.33,0.00,0.00,99.83,49.91,0.00,0.00,-3.94,-1.36,-0.83,63.63,67.77,305.96,263.14,405.80,368.62,390.70,287.77,323.08,283.24,354.74,312.58,353.86,368.62,
33.934,0,0.00,0.00,0.00,29.35,99.98,0.19,67.25,0.01,0.00,0.00,99.98,79.30,98.44,97.57,98.86,0.00,0.09,99.93,0.93,0.06,0.00,0.00,0.00,0.00,0.00,88.14,0.01,69.80,0.75,0.00,0.00,100.00,49.91,0.00,0.00,-3.49,-1.27,-0.19,63.48,68.46,305.94,263.20,405.49,368.35,390.57,287.45,322.22,283.75,354.58,312.34,354.36,368.35,
34.008,0,0.00,0.00,0.00,32.44,99.98,0.20,64.70,0.00,0.00,0.00,99.98,79.33,98.40,97.40,96.51,0.00,0.06,99.98,6.70,0.08,0.00,0.00,0.00,0.00,0.00,96.41,0.00,75.81,0.56,0.00,0.00,100.00,49.98,0.00,0.00,-3.20,-1.42,-0.31,63.27,68.35,305.80,263.31,405.28,368.54,390.42,287.44,322.16,283.92,354.34,312.32,354.06,368.54,
34.150,0,0.00,0.00,0.00,31.14,99.98,0.22,58.13,0.00,0.00,0.00,99.98,79.33,98.32,97.33,90.11,0.00,0.04,99.99,22.71,0.11,0.00,0.00,0.00,0.00,0.00,96.54,0.00,83.58,0.40,0.00,0.00,100.00,49.98,0.00,0.00,-2.71,-1.65,-0.48,63.06,68.58,305.35,263.40,405.14,369.09,390.33,287.63,321.84,284.11,353.91,312.37,353.57,369.09,
34.218,0,0.00,0.00,0.00,33.31,99.98,0.22,56.62,0.00,0.00,0.00,99.98,79.38,98.49,97.12,88.91,0.00,0.04,99.99,19.82,0.10,0.00,0.00,0.00,0.00,0.00,97.45,0.00,90.26,0.32,0.00,0.00,100.00,49.98,0.00,0.00,-2.46,-1.09,-0.29,63.02,68.54,305.30,263.39,405.16,369.13,390.19,287.68,321.73,284.18,354.19,312.31,353.77,369.13,
34.377,0,0.00,0.00,0.00,33.08,99.98,0.23,54.13,0.00,0.00,0.00,99.98,79.42,98.40,96.93,86.68,0.00,0.03,99.99,24.68,0.11,0.00,0.00,0.00,0.00,0.00,98.05,0.00,93.41,0.33,0.00,0.00,100.00,49.98,0.00,0.00,-2.22,-1.41,-0.38,63.06,68.24,306.00,263.55,405.29,368.71,390.50,287.77,322.35,284.21,354.45,312.09,354.08,368.71,
34.513,0,0.02,0.00,0.00,35.32,99.98,0.24,57.12,0.00,0.00,0.00,99.98,79.11,98.67,98.41,87.79,0.00,0.02,99.99,60.61,0.08,0.00,0.00,0.00,0.00,0.00,97.88,0.00,94.21,0.67,0.00,0.00,100.00,49.97,0.00,0.00,-3.62,-0.45,-1.17,63.43,67.63,306.39,264.56,404.39,368.36,390.32,288.33,322.80,284.56,354.75,313.00,353.04,368.36,
